"행정구역(시군구)별","연령별","항목","단위","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"울산광역시","35 - 39세","총전출[명]","명","763","899","787","703","792","1080","937","957","736","","","","","","","","","","","","","","","","","","","","","","","","","","","","19762","18204","19592","17156","17031","16868","19746","19180","17623","18477","18821","19261","16966","16699","15837","14705","14623","16455","16064","15289","15473","14368","15678","14363","12566","9502",
"울산광역시","35 - 39세","순이동[명]","명","-55","-49","-9","-15","-40","61","-24","-62","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","-535","-918","-911","-135","131","-31","-97","-363","-219","-225","-276","409","-289","-134","495","750","652","748","405","-316","-706","-755","-482","-864","-975","-435",
"울산광역시","35 - 39세","시도내이동-시군구내[명]","명","214","256","239","255","245","495","370","367","241","","","","","","","","","","","","","","","","","","","","","","","","","","","","7537","6512","6866","6293","6236","6548","7391","7356","6645","6965","6765","6972","5746","5898","5912","5656","5547","5910","5445","5617","5188","4693","5415","4871","4101","3031",
"울산광역시","35 - 39세","시도내이동-시군구간 전입[명]","명","262","287","278","230","305","375","329","317","286","","","","","","","","","","","","","","","","","","","","","","","","","","","","6513","6260","6971","6018","6227","5885","7209","6943","6152","6420","6760","7288","6093","5964","5442","4823","4812","6017","5774","5017","5428","4886","5880","4958","4360","3258",
"울산광역시","35 - 39세","시도내이동-시군구간 전출[명]","명","262","287","278","230","305","375","329","317","286","","","","","","","","","","","","","","","","","","","","","","","","","","","","6513","6260","6971","6018","6227","5885","7209","6943","6152","6420","6760","7288","6093","5964","5442","4823","4812","6017","5774","5017","5428","4886","5880","4958","4360","3258",
"울산광역시","35 - 39세","시도간전입[명]","명","232","307","261","203","202","271","214","211","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","5177","4514","4844","4710","4699","4404","5049","4518","4607","4867","5020","5410","4838","4703","4978","4976","4916","5276","5250","4339","4151","4034","3901","3670","3130","2778",
"울산광역시","35 - 39세","시도간전출[명]","명","287","356","270","218","242","210","238","273","209","","","","","","","","","","","","","","","","","","","","","","","","","","","","5712","5432","5755","4845","4568","4435","5146","4881","4826","5092","5296","5001","5127","4837","4483","4226","4264","4528","4845","4655","4857","4789","4383","4534","4105","3213",
"울산광역시","40 - 44세","총전입[명]","명","709","809","647","563","682","975","875","869","640","","","","","","","","","","","","","","","","","","","","","","","","","","","","11125","10763","12721","12996","13443","13904","16318","15909","14194","14530","15376","15484","14180","14360","14670","14224","13801","15331","13924","11463","10332","9473","10630","10126","9636","8192",
"울산광역시","40 - 44세","총전출[명]","명","759","831","687","603","671","961","856","898","657","","","","","","","","","","","","","","","","","","","","","","","","","","","","11318","11226","13278","13263","13553","14069","16404","16243","14545","14886","15660","15415","14654","14701","14371","13920","13712","14885","13789","11844","10839","9960","11059","10753","10419","8628",
"울산광역시","40 - 44세","순이동[명]","명","-50","-22","-40","-40","11","14","19","-29","-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","-193","-463","-557","-267","-110","-165","-86","-334","-351","-356","-284","69","-474","-341","299","304","89","446","135","-381","-507","-487","-429","-627","-783","-436",
"울산광역시","40 - 44세","시도내이동-시군구내[명]","명","239","247","230","231","251","491","352","369","272","","","","","","","","","","","","","","","","","","","","","","","","","","","","4684","4210","5112","5182","5306","5758","6574","6761","5946","6189","6211","6006","5371","5619","6004","5601","5480","5829","5010","4631","3875","3636","4092","3864","3748","3031",
"울산광역시","40 - 44세","시도내이동-시군구간 전입[명]","명","242","275","205","182","222","290","302","298","204","","","","","","","","","","","","","","","","","","","","","","","","","","","","3764","3923","4714","4704","4804","4950","5940","5772","4880","5008","5687","5751","5363","5239","4733","4541","4288","5224","4596","3637","3565","3152","3873","3477","3352","2732",
"울산광역시","40 - 44세","시도내이동-시군구간 전출[명]","명","242","275","205","182","222","290","302","298","204","","","","","","","","","","","","","","","","","","","","","","","","","","","","3764","3923","4714","4704","4804","4950","5940","5772","4880","5008","5687","5751","5363","5239","4733","4541","4288","5224","4596","3637","3565","3152","3873","3477","3352","2732",
